,Number_Tra,num_pole,num_bus,num_subway,num_Encross,num_tree,pop,Vol,NonPed_D,TrafDir_A,TrafDir_T,RW_TYPE_10,RW_TYPE_3,RW_TYPE_4,RW_TYPE_6,RW_TYPE_7,RW_TYPE_8,RW_TYPE_9,BikeLane_1,BikeLane_11,BikeLane_2,BikeLane_3,BikeLane_4,num_ecollisions_B,num_pedS
154,2,0,0,0,0,0,52700,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
155,0,0,0,0,0,4,86117,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156,1,0,0,0,0,17,62810,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
157,4,0,1,0,0,9,62810,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
158,1,0,0,0,0,10,59869,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
159,1,0,0,0,0,11,59869,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
160,0,0,0,0,0,6,86117,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
161,4,0,0,0,0,0,59869,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
162,1,0,0,0,0,9,86117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163,4,0,0,0,0,4,86117,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
164,1,0,0,0,0,6,52700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165,1,0,0,0,0,3,52700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
166,0,0,0,0,0,7,86117,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
167,2,1,0,0,0,6,62810,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
168,4,0,0,0,0,11,86117,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169,2,0,0,0,0,13,62810,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
170,4,0,0,0,0,5,59869,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
171,2,0,0,0,0,8,62810,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
172,4,0,0,0,0,0,52700,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
173,4,0,0,0,0,2,52700,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
174,1,0,1,0,0,0,59869,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
175,4,0,0,0,0,4,59869,499,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
176,1,0,0,0,0,12,86117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
177,4,0,0,0,0,0,86117,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
178,1,1,0,0,0,17,62810,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
179,2,0,0,0,0,6,62810,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
180,2,0,0,0,0,4,62810,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
181,5,0,0,0,0,5,59869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
182,1,1,0,0,0,13,52700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
183,1,0,0,0,0,0,52700,78,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
184,1,0,0,0,0,2,52700,78,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
185,1,0,0,0,0,3,52700,78,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
186,1,0,0,0,0,5,62810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
187,1,0,0,0,0,3,62810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
188,0,0,0,0,0,0,86117,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
189,0,0,0,0,0,2,86117,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190,2,0,0,0,0,4,62810,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
